work_id,work_pref_id
11163,1
17137,1
30960,1
61288,1
62848,1
56654,1
69778,1
72977,1
73514,1
78542,1
79083,1
79469,1
84339,1
83645,1
89510,1
76949,1
91351,1
91760,1
92367,1
93122,1
93784,1
94497,1
76720,1
94689,1
75249,1
23756,1
96599,1
96862,1
97074,1
97233,1
96649,1
99314,1
100181,1
100883,1
74192,1
82466,1
78163,1
90183,1
99629,1
30960,1
73055,1
35954,1
76720,1
97562,1
94234,1
69118,1
90598,1
95838,1
90183,1
72164,1
93952,1
48068,1
90598,1
73433,1
90264,1
97562,1
86769,1
49795,2
93847,2
54621,2
75354,2
97914,2
97260,2
65856,2
95351,2
83967,2
67772,3
69778,3
91234,3
94668,3
94250,3
96309,3
96413,3
99482,3
93684,3
84127,3
98537,3
72492,3
75756,3
90571,3
95762,3
12248,3
84970,3
95827,3
11163,4
25213,4
34358,4
71427,4
71433,4
71435,4
77182,4
77347,4
72541,4
81018,4
85009,4
84361,4
88911,4
89228,4
93854,4
94928,4
90511,4
50724,4
82683,4
96874,4
88177,4
81623,4
94164,4
85298,4
74816,4
91481,4
61167,4
72858,4
95801,4
96649,4
69118,4
72858,4
82995,4
82678,4
50739,4
81517,4
16198,1
27945,1
46995,1
55800,1
67772,1
69118,1
69118,1
74749,1
35954,1
88773,1
89571,1
90598,1
90264,1
67791,5
95351,5
94689,5
77876,5
85281,5
69778,6
94234,1
94842,1
84058,1
95872,1
92666,1
91006,1
91801,1
82678,1
96664,1
96760,1
95722,1
80625,1
99827,1
92666,1
72164,1
94096,1
100002,1
57613,1
91335,1
90183,1
73433,1
82678,1
76949,1
33925,6
97074,6
97646,6
77345,6
90264,6
62979,6
82280,6
75757,6
69118,6
75756,6
76251,6
35427,7
87062,7
89130,7
91006,1
33925,1
97074,1
99714,1
56014,1
75354,1
97396,1
11163,1
67772,1
96760,1
99252,1
75738,1
100584,1
75758,7
100232,7
94162,7
38837,7
78704,7
81524,7
95285,7
96760,7
97061,7
97362,7
95285,2
84339,2
96944,2
97562,2
92666,2
75355,2
82466,2
75756,7
75738,7
91481,7
99504,7
73179,8
78951,8
32900,2
62412,3
83841,3
90264,3
93674,3
95294,3
33925,3
97449,3
92527,3
80625,3
84814,3
94455,8
94211,8
90183,8
58671,8
100584,8
97396,8
34152,8
58859,8
74444,8
83382,8
70387,8
77345,3
67791,3
97396,3
79655,3
95022,3
14962,3
71569,3
95022,3
78721,3
94163,3
19281,4
11947,4
48644,4
52133,4
68810,4
69118,4
66175,4
74749,4
75328,4
35954,4
81449,4
76303,8
92315,8
74816,8
94096,8
35814,8
77347,8
90431,8
34152,8
52133,8
83000,8
95306,8
33925,8
81623,8
98855,8
83839,4
57909,4
87353,4
90055,4
90429,4
90264,4
76034,4
76720,4
97074,4
97338,4
97562,4
93824,8
76034,8
93544,8
29653,8
95518,8
69124,8
97042,8
14062,8
74004,8
82683,8
97902,8
89892,8
61167,4
37900,4
79584,4
99497,4
87362,4
67772,4
84284,4
100224,4
67242,4
95022,4
90264,4
23046,9
67772,9
69644,9
74749,9
81509,9
83382,9
13964,9
93853,9
94234,9
95872,9
92148,9
98054,9
93828,9
91290,4
94160,4
71463,5
75251,5
82007,5
96116,5
32900,5
90942,5
67242,6
79872,6
62086,9
19363,9
67200,9
75542,9
29256,9
76727,9
84381,9
84814,9
23756,9
97396,9
43181,9
13475,9
94328,9
88177,9
92148,6
14962,6
49795,6
84814,6
90264,6
77411,6
83382,6
95881,6
97449,6
67242,7
73324,7
35954,7
92129,7
69118,9
86073,9
75738,9
99024,9
55574,10
87835,10
95850,10
84814,10
97569,10
98054,10
91683,10
79655,10
94211,7
90718,7
90183,7
75758,7
96760,7
59671,7
67242,7
69118,7
72858,7
74749,7
72311,7
87353,7
93658,7
76063,7
23756,7
93176,7
35427,10
52133,10
82038,10
91462,10
75328,10
78604,10
94931,10
76720,10
43181,10
25400,10
64438,10
66982,10
73325,10
92955,7
100338,7
29653,7
94497,7
76306,7
97562,7
96045,7
100583,7
58859,7
97074,7
32900,7
96760,7
69113,8
69778,8
21096,8
98054,10
98584,10
95493,10
100977,10
96356,10
13908,11
14311,11
46613,11
62095,11
85281,8
87207,8
92666,8
74816,8
93658,8
94234,8
95873,8
73295,8
96145,8
96760,8
96621,8
76303,8
95007,8
97262,8
94164,8
100871,8
97127,8
73642,8
95873,8
98855,8
73411,11
73930,11
75848,11
76256,11
80759,11
79553,11
83102,11
